title,post_date,edit_date,edit_time,message_text,post_moderation,category,url,page,index,user_name,user_id,user_rank,user_joindate,user_url,editor_name,editor_id,editor_joindate,editor_url,editor_rank
How can we improve My Stats? Share your feedback.,"Mar 16, 2021  11:47:28 PM",,,"I have Top rated batch but by only one low rating my success rate goes down from 100% to 89% and starts decreasing Top Rated eligible weeks although other Jobs are in progress.That's not fair and still, wait for 2 months for the Top-rated batch.upwork.com/fl/neerajdhameliyaOther all clients are satisfied and rewarded me with new projects and bounce. Due to this, I have to work at a cheap price just to get a good project.Please discuss with the freelancer once before taking down his stats to 100% to 89%.clients don't lose anything if their account has a low rating but if we have the same It's totally affecting our freelancing career.Please do something about this.",Unedited,Freelancers,https://community.upwork.com/t5/Freelancers/How-can-we-improve-My-Stats-Share-your-feedback/td-p/863487,8,75,Niral D,61421c8fdb7ed136,ActiveMember,"Nov 21, 2019",https://community.upwork.com/t5/user/viewprofilepage/user-id/4667235,,d41d8cd98f00b204,,,
How can we improve My Stats? Share your feedback.,"Mar 14, 2021  05:15:25 PM",,,"Thanks for asking! ""My stats"" should also show the personal feedback given by clients so that freelancers can actually improve/work on their skills. BTW I can't see any point in separate public and private feedbacks by clients. And both affects the JSS of freelancers. For me it only creates hypocrisy as most clients give you a 5/5 feedback publically while a poor one privately. Thanks in advance!!",Unedited,Freelancers,https://community.upwork.com/t5/Freelancers/How-can-we-improve-My-Stats-Share-your-feedback/td-p/863487,8,74,Aleena N,39a636f8891199e7,ActiveMember,"May 19, 2020",https://community.upwork.com/t5/user/viewprofilepage/user-id/5695632,,d41d8cd98f00b204,,,
How can we improve My Stats? Share your feedback.,"Mar 13, 2021  06:24:59 PM",,,Hi!Here is one suggestion from my end:There should be a section where I can see a bar graph of my monthly earning or a trend line.That would be helpful.Thanks!,Unedited,Freelancers,https://community.upwork.com/t5/Freelancers/How-can-we-improve-My-Stats-Share-your-feedback/td-p/863487,8,73,Shantanu J,e7bdb00441bca50f,ActiveMember,"Apr 18, 2019",https://community.upwork.com/t5/user/viewprofilepage/user-id/3614725,,d41d8cd98f00b204,,,
How can we improve My Stats? Share your feedback.,"Jan 27, 2021  03:56:22 AM",,,"-- How many invitations I got in the past week, month, quarter.-- How many of the invitations were from Basic, Business, and Enterprise clients.-- How many of the invitations I accepted and declined.-- How many accepted invitations resulted in a contract.-- How many proposals I submitted in teh past week, month, quarter.-- How many proposals resulted in an interview and how many resulted in a contract.Profile discovery metrics would be useful if they told me who's looking -- how many Basic clients, how many Business clients, how many Enterprise clients.This is a pretty good list.I also vote for this ",Unedited,Freelancers,https://community.upwork.com/t5/Freelancers/How-can-we-improve-My-Stats-Share-your-feedback/td-p/863487,2,11,Petra R,24a7477779c427d5,CommunityGuru,"Aug 3, 2011",https://community.upwork.com/t5/user/viewprofilepage/user-id/3535,,d41d8cd98f00b204,,,
How can we improve My Stats? Share your feedback.,"Jan 27, 2021  03:51:33 AM",,,"-- How many invitations I got in the past week, month, quarter.-- How many of the invitations were from Basic, Business, and Enterprise clients.-- How many of the invitations I accepted and declined.-- How many accepted invitations resulted in a contract.-- How many proposals I submitted in teh past week, month, quarter.-- How many proposals resulted in an interview and how many resulted in a contract.Profile discovery metrics would be useful if they told me who's looking -- how many Basic clients, how many Business clients, how many Enterprise clients.This is a pretty good list.",Unedited,Freelancers,https://community.upwork.com/t5/Freelancers/How-can-we-improve-My-Stats-Share-your-feedback/td-p/863487,1,10,Renante V,06a3ad738a34478a,CommunityGuru,"Feb 7, 2018",https://community.upwork.com/t5/user/viewprofilepage/user-id/1714895,,d41d8cd98f00b204,,,
How can we improve My Stats? Share your feedback.,"Mar 11, 2021  10:56:53 AM",,,"Clients who would recommend should be a percentage of only clients who left feedback, and not of all clients as is currently the case.This would also be in keeping with recent changes to how no-feedback contracts are factored into the JSS.",Unedited,Freelancers,https://community.upwork.com/t5/Freelancers/How-can-we-improve-My-Stats-Share-your-feedback/td-p/863487,7,64,Abinadab A,a33bed79bf7fa12d,CommunityGuru,"Sep 26, 2016",https://community.upwork.com/t5/user/viewprofilepage/user-id/166178,,d41d8cd98f00b204,,,
How can we improve My Stats? Share your feedback.,"Mar 10, 2021  08:13:45 AM",,,How about a total of earnings for each calendar year (and an updated total year-to-date for the current year)?,Unedited,Freelancers,https://community.upwork.com/t5/Freelancers/How-can-we-improve-My-Stats-Share-your-feedback/td-p/863487,7,63,Bettye U,f55526b679424097,CommunityGuru,"Mar 6, 2016",https://community.upwork.com/t5/user/viewprofilepage/user-id/79071,,d41d8cd98f00b204,,,
How can we improve My Stats? Share your feedback.,"Mar 3, 2021  06:26:02 AM",,,"Upwork talent search statsWhat keywords clients who invited me where searching for?What keywords clients who saw my profile where searching for?Where do I appear in search on most relevant keywords? (for example: I appear in Page 1 when you search ""OPNsense"" and Page 11 when you search ""Nginx"")maybe some other Upwork talent search related stats that I don't have in mind",Unedited,Freelancers,https://community.upwork.com/t5/Freelancers/How-can-we-improve-My-Stats-Share-your-feedback/td-p/863487,7,62,NourEddine Y,d19a3430511e899e,ActiveMember,"Jul 20, 2018",https://community.upwork.com/t5/user/viewprofilepage/user-id/2355549,,d41d8cd98f00b204,,,
How can we improve My Stats? Share your feedback.,"Mar 1, 2021  07:31:36 AM",,,"What I use most:entire Client Satisfaction section (agree it would be nice to see lifetime earnings there)To add:stats on proposals/invitations/interviews/contracts, as others in the thread have broken out wellI'd like to know final outcome for jobs I didn't get, current year and previous year:  number+percent where no one was hired  for those with a hire:percent hiring at a lower rate vs a higher rate compared to my bidpercent hiring a freelancer with more vs. less Upwork experience than me  number+percent where no one was hired  for those with a hire:percent hiring at a lower rate vs a higher rate compared to my bidpercent hiring a freelancer with more vs. less Upwork experience than mepercent hiring at a lower rate vs a higher rate compared to my bidpercent hiring a freelancer with more vs. less Upwork experience than mestats on Project Catalog:How often each of my project pages were viewed; how many times each project was ordered and completed (annual and lifetime)What those stats look like for other similar projects (e.g. average and max by category and specialty)How often each of my project pages were viewed; how many times each project was ordered and completed (annual and lifetime)What those stats look like for other similar projects (e.g. average and max by category and specialty)  number+percent where no one was hired  for those with a hire:percent hiring at a lower rate vs a higher rate compared to my bidpercent hiring a freelancer with more vs. less Upwork experience than mepercent hiring at a lower rate vs a higher rate compared to my bidpercent hiring a freelancer with more vs. less Upwork experience than mepercent hiring at a lower rate vs a higher rate compared to my bidpercent hiring a freelancer with more vs. less Upwork experience than meHow often each of my project pages were viewed; how many times each project was ordered and completed (annual and lifetime)What those stats look like for other similar projects (e.g. average and max by category and specialty)Related:The Certificate of Earnings is super-useful, but it would be really really helpful to have additional versions of it that reflected the current calendar year and the previous calendar year (ideally broken down by quarters), for situations where annual and YTD data is required.Thanks!",Unedited,Freelancers,https://community.upwork.com/t5/Freelancers/How-can-we-improve-My-Stats-Share-your-feedback/td-p/863487,7,61,Audrey S,910bc1cd9efa7164,ActiveMember,"Sep 26, 2020",https://community.upwork.com/t5/user/viewprofilepage/user-id/6592468,,d41d8cd98f00b204,,,
How can we improve My Stats? Share your feedback.,"Feb 27, 2021  04:11:19 AM",,,"How about adding another feauture from Fiverr?The one that shows a map of the world that indicates which countries our clients are from.Care to explain how this is related?Why not continents?For my part, I'm only missing clients from South America and Antarctica, only, so the map wouldn't tell anyone very much. And Antarctica is not within my aim. Penguins get to serve themselves, I'm afraid.Let's keep Upwork as Upwork and let Fiverr be Fiverr.I would agree with this. I don't understand how it's relevant, and really don't want this crowding up My Stats. Then again, I work in the United States and I only do work with companies in the United States. I understand that freelancers from other countries might find this important.",Unedited,Freelancers,https://community.upwork.com/t5/Freelancers/How-can-we-improve-My-Stats-Share-your-feedback/td-p/863487,3,30,David S M,d2ff74bc71b413c2,CommunityGuru,"Apr 24, 2018",https://community.upwork.com/t5/user/viewprofilepage/user-id/1999021,,d41d8cd98f00b204,,,
